Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,107,441,76,201,1,161,45,19,140,0,0
0.02,45,359,21,100,4,55,13,5,57,0,0
0.02,86,504,32,151,1,45,20,5,135,0,0
0.02,72,408,37,344,2,177,15,5,82,0,0
0.02,91,490,50,144,2,74,23,12,110,0,0
0.02,42,448,11,79,2,26,25,5,57,0,0
0.02,85,373,39,90,2,70,32,5,108,0,0
0.02,163,474,69,168,2,163,44,21,141,0,0
0.02,34,445,8,37,1,21,26,5,68,0,0
0.02,73,394,43,138,1,74,18,5,88,0,0
0.02,45,349,13,37,2,29,16,5,80,0,0
0.02,100,260,55,151,1,138,13,5,88,0,0
0.02,127,568,57,144,1,144,36,19,112,0,0
0.02,170,415,163,497,2,307,39,32,109,0,0
0.02,58,541,36,83,1,98,18,5,78,0,0
0.02,85,405,55,145,2,84,30,13,107,0,0
0.02,38,387,19,82,2,43,17,5,84,0,0
0.02,79,390,32,196,1,69,23,5,89,0,0
0.02,124,795,60,225,1,100,70,15,124,0,0
0.02,74,386,55,105,1,117,44,13,192,0,0
0.02,43,282,12,24,2,27,14,5,57,0,0
0.02,49,410,22,65,8,59,20,5,104,0,0
0.02,51,402,17,59,1,35,24,5,86,0,0
0.02,37,438,25,81,2,52,15,5,72,0,0
0.02,90,357,39,161,1,71,45,11,127,0,0
0.02,61,338,30,98,4,80,29,5,131,0,0
0.02,107,574,76,190,1,450,35,18,97,0,0
0.02,35,384,14,65,4,37,26,5,71,0,0
0.02,67,255,43,92,1,85,56,15,288,0,0
0.02,92,475,53,175,1,88,55,12,144,0,0
0.02,99,642,48,247,2,129,47,17,129,0,0
0.02,92,376,69,105,1,101,26,11,96,0,0
0.02,45,370,23,100,2,53,16,5,72,0,0
0.02,39,240,11,27,1,23,11,5,64,0,0
0.02,91,274,46,92,1,111,39,13,116,0,0
0.02,29,354,11,57,1,25,17,5,56,0,0
0.02,80,531,52,155,8,91,49,11,95,0,0
0.02,35,297,9,44,2,24,11,5,54,0,0
0.02,107,619,52,133,2,88,63,12,130,0,0
0.02,84,702,50,134,8,92,85,13,126,0,0
0.02,47,421,13,54,2,29,31,5,79,0,0
0.02,145,703,60,190,2,98,37,11,91,0,0
0.02,17,259,15,67,2,31,17,5,81,0,0
0.02,76,277,31,66,2,56,33,5,210,0,0
0.02,93,231,62,91,1,96,18,10,119,0,0
0.02,46,459,20,83,1,48,19,5,70,0,0
0.02,46,358,20,91,2,33,28,5,102,0,0
0.02,38,419,11,39,1,24,31,5,71,0,0
0.02,42,450,18,87,1,43,21,5,60,0,0
0.02,17,324,14,62,4,23,16,5,69,0,0
0.02,32,333,21,75,2,35,34,5,111,0,0
0.02,24,397,18,139,20,35,30,5,92,0,0
0.02,81,534,34,177,2,84,24,5,50,0,0
0.02,30,427,16,81,12,26,119,5,118,0,0
0.02,32,318,10,35,4,23,9,5,48,0,0
0.02,101,597,39,205,1,94,34,5,51,0,0
0.02,72,486,25,148,1,49,26,5,74,0,0
0.02,35,445,11,31,2,28,23,5,61,0,0
0.02,57,558,34,78,2,48,108,5,146,0,0
0.02,80,567,41,165,1,77,29,5,71,0,0
0.02,53,297,9,44,2,21,24,5,67,0,0
0.02,28,372,11,34,2,28,28,5,84,0,0
0.02,95,674,55,238,1,152,25,5,81,0,0
0.02,25,412,11,54,1,27,18,5,47,0,0
0.02,66,340,22,101,4,46,46,5,133,0,0
0.02,80,620,49,62,2,107,53,5,139,0,0
0.02,41,348,14,40,8,30,14,5,88,0,0
0.02,56,750,39,156,1,70,43,11,86,0,0
0.02,31,364,15,67,2,52,20,5,72,0,0
0.02,46,275,9,61,8,22,46,5,71,0,0
0.02,43,193,10,27,32,22,10,5,50,0,0
0.02,38,567,53,25,2,63,203,5,278,0,0
0.02,49,285,10,36,2,21,44,5,94,0,0
0.02,50,281,17,116,4,42,43,5,34,0,0
0.02,75,834,41,117,1,75,33,14,85,0,0
0.02,47,445,11,37,16,30,131,5,152,0,0
0.02,49,322,16,49,4,36,90,5,111,0,0
0.02,51,247,13,66,16,34,177,5,181,0,0
0.02,57,730,39,126,1,70,40,5,84,0,0
0.02,127,760,105,257,2,248,315,12,197,0,0
0.02,36,750,34,129,1,59,18,5,46,0,0
0.02,40,748,42,57,8,63,30,5,92,0,0
0.02,31,445,11,22,2,27,92,5,94,0,0
0.02,31,354,11,61,1,30,12,5,41,0,0
0.02,94,583,78,224,20,232,389,26,315,0,0
0.02,100,607,94,197,1,233,353,14,345,0,0
0.02,62,531,78,126,52,200,303,5,41,0,0
0.02,35,479,15,58,1,25,66,5,102,0,0
0.02,48,732,43,156,1,84,29,5,90,0,0
0.02,35,372,13,64,1,30,69,5,72,0,0
0.02,64,520,34,102,4,80,121,5,156,0,0
0.02,36,670,36,137,2,71,21,5,80,0,0
0.02,16,388,10,38,1,15,24,5,49,0,0
0.02,55,573,73,180,12,229,166,11,241,0,0
0.02,64,300,21,90,2,33,95,5,129,0,0
0.02,24,353,24,65,4,29,32,5,82,0,0
0.02,68,1200,80,86,2,106,19,11,125,0,0
0.02,49,603,33,93,2,92,25,5,117,0,0
0.02,27,510,41,128,1,99,36,5,105,0,0
0.02,24,329,15,64,2,23,56,5,95,0,0
0.02,32,476,17,60,1,26,26,5,61,0,0
0.02,28,370,17,39,1,37,26,5,87,0,0
0.02,38,723,22,59,2,32,30,5,70,0,0
0.02,46,380,16,122,2,30,52,5,98,0,0
0.02,22,373,18,33,2,50,34,5,85,0,0
0.02,30,598,19,88,1,37,17,5,114,0,0
0.02,37,1200,15,60,4,29,30,5,86,0,0
0.02,37,1200,28,87,2,37,16,5,83,0,0
0.02,47,1200,17,84,2,73,89,5,79,0,0
0.02,42,1200,29,80,1,53,32,5,100,0,0
0.02,45,1200,29,90,4,51,30,5,77,0,0
0.02,15,246,15,41,1,31,35,5,99,0,0
0.02,43,287,33,56,2,108,14,5,127,0,0
0.02,41,539,25,70,2,58,29,5,119,0,0
0.02,28,547,20,39,4,32,58,5,111,0,0
0.02,26,359,30,54,4,52,17,5,102,0,0
0.02,35,308,29,60,2,55,16,5,107,0,0
0.02,25,439,18,32,2,27,20,5,58,0,0
0.02,26,835,23,37,4,45,32,5,88,0,0
0.02,35,809,19,112,2,45,47,5,53,0,0
0.02,51,262,38,46,2,85,11,5,126,0,0
0.02,28,535,21,40,2,47,18,5,51,0,0
0.02,42,188,23,32,2,42,16,5,94,0,0
0.02,28,445,21,56,2,24,38,5,87,0,0
0.02,25,862,15,59,1,28,44,5,56,0,0
0.02,44,445,42,76,2,103,18,5,108,0,0
0.02,85,695,65,226,8,146,98,12,128,0,0
0.02,50,500,25,74,2,33,61,5,130,0,0
0.02,53,521,24,77,2,43,65,5,139,0,0
0.02,50,771,32,84,8,51,75,5,90,0,0
0.02,40,546,21,54,2,35,28,5,77,0,0
0.02,32,372,19,67,1,41,25,5,82,0,0
0.02,59,502,27,110,4,39,58,5,105,0,0
0.02,41,368,19,94,28,50,84,5,97,0,0
0.02,43,445,34,121,1,46,66,5,132,0,0
0.02,49,629,45,73,8,112,178,5,117,0,0
0.02,63,445,27,119,2,71,59,5,142,0,0
0.02,35,430,20,82,4,28,34,5,53,0,0
0.02,32,620,16,78,4,18,15,5,93,0,0
0.02,61,735,55,128,4,84,162,10,138,0,0
0.02,70,867,49,99,8,83,185,10,381,0,0
0.02,24,650,21,63,2,38,29,5,133,0,0
0.02,27,348,34,94,20,83,122,5,121,0,0
0.02,51,374,42,72,2,55,19,5,118,0,0
0.02,38,445,23,78,2,51,45,5,132,0,0
0.02,38,377,34,58,2,51,56,5,130,0,0
1,60,779,57,94,4,120,113,12,155,0,0
0.02,37,374,46,102,2,78,22,5,111,0,0
0.02,68,808,41,70,2,82,19,5,136,0,0
0.02,20,613,12,76,1,32,14,5,52,0,0
0.02,18,610,16,76,2,26,20,5,107,0,0
0.02,53,374,70,82,8,110,14,5,113,0,0
0.02,42,642,32,81,1,65,32,5,96,0,0
0.02,32,656,16,111,2,49,17,5,81,0,0
0.02,39,194,20,52,1,58,21,5,123,0,0
0.02,36,530,43,126,4,75,19,5,78,0,0
0.02,54,445,34,100,2,83,39,5,126,0,0
0.02,61,386,28,96,2,60,14,5,95,0,0
0.02,75,576,44,140,12,105,28,5,130,0,0
0.02,65,774,66,106,8,178,52,12,128,0,0
0.02,37,710,18,66,1,27,16,5,98,0,0
0.02,22,418,13,68,1,33,17,5,64,0,0
0.02,48,185,16,68,2,44,15,5,70,0,0
0.02,14,595,8,74,1,15,14,5,40,0,0
0.02,52,445,18,53,2,40,18,5,137,0,0
0.02,43,445,32,42,1,50,43,5,130,0,0
0.02,37,530,27,66,2,49,70,5,93,0,0
0.02,59,515,38,88,1,73,20,5,124,0,0
0.02,28,585,16,55,1,40,17,5,80,0,0
0.02,26,272,15,64,1,26,19,5,81,0,0
0.02,57,413,26,49,2,55,27,5,69,0,0
0.02,63,1200,55,169,1,34,49,5,186,0,0
0.02,60,239,22,59,2,65,15,5,80,0,0
0.02,33,484,33,139,1,162,55,18,181,0,0
0.02,39,370,15,94,2,36,20,5,89,0,0
0.02,46,445,27,82,2,48,24,5,101,0,0
0.02,56,445,22,94,2,57,36,5,147,0,0
0.02,36,537,35,64,1,59,18,5,112,0,0
0.02,45,276,27,70,2,70,14,5,74,0,0
0.02,39,445,23,42,2,43,37,5,129,0,0
0.02,37,685,18,77,1,44,17,5,74,0,0
0.02,36,598,25,100,1,44,17,5,75,0,0
0.02,64,724,46,125,4,128,36,5,124,0,0
0.02,27,681,16,34,1,31,21,5,106,0,0
0.02,61,445,26,71,1,60,28,5,152,0,0
0.02,79,233,20,102,2,66,19,5,103,0,0
0.02,20,371,18,58,1,36,24,5,75,0,0
0.02,37,419,25,67,4,71,20,5,90,0,0
0.02,49,643,38,92,2,96,21,5,87,0,0
0.02,54,240,21,78,8,51,14,5,69,0,0
0.02,33,594,20,87,1,70,14,5,54,0,0
0.02,41,297,20,84,2,48,20,5,63,0,0
0.02,32,445,20,54,2,45,23,5,107,0,0
0.02,31,429,21,51,1,48,26,5,94,0,0
0.02,83,209,22,114,2,64,12,5,77,0,0
0.02,41,445,22,50,1,62,12,5,107,0,0
0.02,41,880,27,99,1,53,27,5,116,0,0
0.02,52,360,27,136,2,87,13,5,60,0,0
0.02,57,618,20,41,1,58,19,5,78,0,0
0.02,55,1200,36,169,4,145,65,13,126,0,0
0.02,24,463,19,49,2,38,12,5,55,0,0
0.02,67,195,17,102,2,54,16,5,80,0,0
0.02,36,651,22,37,2,41,15,5,61,0,0
0.02,42,210,18,45,4,42,10,5,103,0,0
0.02,23,379,18,47,1,42,14,5,83,0,0
0.02,39,659,28,52,1,52,16,5,104,0,0
0.02,38,564,24,86,1,44,15,5,84,0,0
0.02,53,439,23,92,2,40,13,5,53,0,0
0.02,20,418,23,36,2,47,13,5,93,0,0
0.02,39,703,27,80,1,50,25,5,104,0,0
0.02,54,445,27,76,1,65,12,5,95,0,0
0.02,11,412,18,125,1,32,14,5,105,0,0
0.02,31,592,26,28,1,55,16,5,104,0,0
0.02,54,445,26,45,1,57,24,5,87,0,0
0.02,38,772,51,148,1,142,30,5,124,0,0
0.02,45,571,29,129,4,58,23,5,123,0,0
0.02,27,502,21,153,1,31,16,5,123,0,0
0.02,48,445,27,69,1,54,16,5,74,0,0
0.02,66,448,19,51,2,55,23,5,76,0,0
0.02,48,656,27,32,1,46,16,5,79,0,0
0.02,36,380,25,79,1,35,15,5,102,0,0
0.02,34,757,17,58,1,33,15,5,27,0,0
0.02,55,805,29,66,1,71,28,5,108,0,0
0.02,39,425,26,84,2,38,17,5,117,0,0
0.02,46,598,28,223,2,79,18,5,120,0,0
0.02,44,653,30,164,8,58,27,5,130,0,0
0.02,44,483,27,107,2,40,25,5,150,0,0
0.02,20,185,36,42,2,83,14,5,130,0,0
0.02,10,378,12,53,1,11,8,5,95,0,0
0.02,28,233,39,50,2,104,13,5,103,0,0
0.02,21,381,12,52,1,9,2,5,71,0,0
0.02,23,359,21,143,1,32,19,5,163,0,0
0.02,23,475,18,105,1,24,11,5,85,0,0
0.02,34,811,40,113,2,38,23,5,93,0,0
0.02,34,566,20,132,2,33,13,5,136,0,0
0.02,35,441,39,68,2,106,20,5,109,0,0
0.02,27,492,24,125,1,34,12,10,111,0,0
0.02,19,415,13,68,2,18,13,5,105,0,0
0.02,43,421,33,52,1,92,14,5,63,0,0
0.02,29,368,34,47,2,121,20,5,94,0,0
0.02,25,356,26,198,1,40,15,10,133,0,0
0.02,33,437,34,54,2,105,32,5,96,0,0
0.02,26,702,15,117,1,21,13,5,116,0,0
0.02,48,699,50,74,2,46,28,5,49,0,0
0.02,47,394,44,106,1,47,18,5,55,0,0
0.02,41,548,18,173,2,32,18,5,155,0,0
0.02,21,594,21,75,1,47,16,5,95,0,0
0.02,33,342,26,25,4,16,16,5,62,0,0
0.02,29,544,20,118,1,31,14,5,126,0,0
0.02,29,292,39,53,2,40,12,5,78,0,0
0.02,53,664,46,211,2,55,17,5,85,0,0
0.02,29,389,18,21,1,8,16,5,66,0,0
0.02,14,420,17,40,2,33,6,5,39,0,0
0.02,48,429,61,101,2,94,20,5,97,0,0
0.02,10,413,29,86,1,13,10,5,29,0,0
0.02,22,545,29,81,4,55,16,5,147,0,0
0.02,45,492,29,49,2,58,14,5,101,0,0
0.02,44,751,45,173,2,53,22,5,46,0,0
0.02,33,450,28,42,4,15,16,5,70,0,0
0.02,34,278,34,47,1,106,17,5,80,0,0
0.02,60,811,45,79,1,37,12,5,45,0,0
0.02,29,485,14,220,1,22,12,5,119,0,0
0.02,127,360,30,37,2,71,17,5,64,0,0
0.02,34,380,19,25,1,8,20,5,63,0,0
0.02,35,426,14,19,1,16,27,5,60,0,0
0.02,39,556,31,35,2,58,35,5,111,0,0
0.02,51,665,46,191,1,57,14,5,45,0,0
0.02,17,493,38,66,2,31,17,5,76,0,0
0.02,22,471,36,62,1,26,15,5,32,0,0
0.02,47,508,33,56,2,122,26,5,82,0,0
0.02,139,639,52,67,2,152,219,5,86,0,0
0.02,58,548,49,78,2,91,44,5,286,0,0
0.02,19,358,20,31,2,38,7,5,51,0,0
0.02,15,319,16,40,2,36,6,5,31,0,0
0.02,34,583,44,81,1,112,9,5,73,0,0
0.02,22,315,26,64,2,55,2,5,30,0,0
0.02,20,272,28,33,1,48,9,5,91,0,0
0.02,25,537,31,62,2,82,10,5,72,0,0
0.02,18,573,53,74,1,55,21,5,48,0,0
0.02,13,305,13,24,2,5,13,5,65,0,0
0.02,38,516,39,85,2,88,8,5,101,0,0
0.02,18,537,24,73,2,55,22,5,126,0,0
0.02,51,1200,18,33,4,44,41,5,90,0,0
0.02,48,482,20,68,2,45,29,5,101,0,0
0.02,28,485,24,62,2,49,21,5,129,0,0
0.02,11,546,24,56,2,50,11,5,78,0,0
0.02,65,609,44,110,8,48,43,5,52,0,0
0.02,14,482,22,52,2,48,46,5,90,0,0
0.02,17,428,22,62,1,41,19,5,115,0,0
0.02,96,652,44,90,4,54,49,5,49,0,0
0.02,22,643,19,53,1,59,7,5,57,0,0
0.02,22,499,34,93,4,70,24,10,155,0,0
0.02,24,415,34,36,2,20,13,5,40,0,0
0.02,37,549,29,52,2,53,11,5,144,0,0
0.02,32,398,33,79,2,66,17,5,123,0,0
0.02,37,435,29,99,1,59,21,16,69,0,0
0.02,27,562,34,58,1,80,15,5,113,0,0
0.02,61,445,39,59,4,225,35,11,81,0,0
0.02,43,451,39,69,2,85,11,5,108,0,0
0.02,25,471,42,79,2,92,9,5,135,0,0
0.02,8,375,20,27,1,42,11,5,94,0,0
0.02,31,423,25,65,2,37,13,10,79,0,0
0.02,24,464,21,87,2,51,14,5,67,0,0
0.02,16,628,18,59,2,59,13,5,98,0,0
0.02,63,535,17,82,4,43,39,5,102,0,0
0.02,21,399,58,86,2,54,15,5,63,0,0
0.02,17,576,20,62,1,47,14,5,63,0,0
0.02,18,423,17,35,1,28,20,5,70,0,0
0.02,23,299,47,66,1,37,8,5,53,0,0
0.02,32,498,22,67,1,35,26,5,73,0,0
0.02,26,456,24,41,1,53,7,5,49,0,0
0.02,25,529,20,84,2,47,10,5,75,0,0
0.02,14,459,29,54,1,58,14,10,109,0,0
0.02,30,540,30,54,2,70,17,5,254,0,0
0.02,18,300,13,64,2,36,8,5,34,0,0
0.02,35,551,17,62,2,37,23,5,96,0,0
0.02,29,541,32,63,2,74,8,5,114,0,0
0.02,22,321,53,76,1,44,12,5,106,0,0
0.02,28,314,20,35,2,29,22,5,55,0,0
0.02,25,532,35,103,2,88,16,20,104,0,0
0.02,26,493,34,76,1,79,10,5,80,0,0
0.02,43,598,34,65,1,88,12,5,80,0,0
0.02,24,380,30,60,1,48,14,16,92,0,0
0.02,30,681,25,60,1,14,15,5,65,0,0
0.02,44,582,21,112,2,47,25,10,120,0,0
0.02,33,573,27,56,1,44,15,5,55,0,0
0.02,29,254,42,67,2,53,8,5,62,0,0
0.02,22,490,39,94,2,43,12,5,36,0,0
0.02,35,483,22,63,2,64,10,5,86,0,0
0.02,40,413,20,70,2,64,18,12,131,0,0
0.02,28,518,19,54,2,35,15,5,80,0,0
0.02,34,467,33,78,2,48,15,15,113,0,0
0.02,18,360,41,92,2,30,21,5,77,0,0
0.02,11,428,38,83,2,26,11,5,99,0,0
0.02,33,593,32,117,8,63,22,5,58,0,0
0.02,30,580,28,46,4,46,14,5,47,0,0
0.02,35,510,15,66,2,33,19,5,113,0,0
0.02,32,293,42,108,2,63,14,5,126,0,0
0.02,25,562,16,159,1,26,17,5,101,0,0
0.02,23,443,44,78,2,40,11,5,43,0,0
0.02,22,477,43,59,1,39,13,5,35,0,0
0.02,29,503,26,92,12,56,20,5,51,0,0
0.02,33,318,27,83,2,43,14,12,89,0,0
0.02,42,531,33,108,1,99,21,11,127,0,0
0.02,12,531,32,104,2,22,6,5,21,0,0
0.02,44,464,26,88,1,58,18,10,107,0,0
0.02,28,377,30,100,1,59,11,11,96,0,0
0.02,42,435,16,102,1,34,13,5,76,0,0
0.02,37,446,30,99,1,56,19,5,66,0,0
0.02,19,383,40,162,2,41,12,5,34,0,0
0.02,30,386,27,89,4,33,33,5,62,0,0
0.02,30,292,55,104,12,64,14,5,149,0,0
0.02,18,411,18,104,2,17,13,5,34,0,0
0.02,30,480,19,77,1,44,15,5,87,0,0
0.02,31,471,28,97,2,44,18,5,77,0,0
0.02,23,534,20,94,4,46,14,5,76,0,0
0.02,43,385,34,104,2,66,18,19,109,0,0
0.02,19,367,22,152,1,32,11,5,127,0,0
0.02,42,510,35,135,8,63,20,5,64,0,0
0.02,24,458,21,103,2,42,13,5,114,0,0
0.02,23,469,23,57,1,46,12,11,106,0,0
0.02,19,614,40,114,4,36,14,5,46,0,0
0.02,31,346,25,40,2,47,11,11,79,0,0
0.02,28,520,16,89,1,36,25,5,120,0,0
0.02,28,454,19,75,2,43,16,5,105,0,0
0.02,22,448,15,77,4,34,14,5,106,0,0
0.02,23,351,27,81,2,41,14,14,69,0,0
0.02,20,339,26,58,2,48,13,5,113,0,0
0.02,25,536,16,79,1,51,14,5,100,0,0
0.02,26,628,18,112,2,43,6,5,40,0,0
0.02,27,369,19,66,2,48,18,5,104,0,0
0.02,18,419,13,86,1,23,14,5,89,0,0
0.02,31,446,29,64,2,47,18,14,77,0,0
0.02,28,362,29,110,2,228,16,5,109,0,0
0.02,19,420,19,78,1,40,15,5,85,0,0
0.02,31,474,21,56,2,50,22,5,123,0,0
0.02,16,442,18,61,1,38,15,5,101,0,0
0.02,21,356,24,66,1,46,15,12,114,0,0
0.02,31,546,21,128,4,46,24,5,86,0,0
0.02,28,400,18,57,2,38,21,5,111,0,0
0.02,45,426,32,82,2,58,18,5,99,0,0
0.02,18,338,27,62,1,58,12,11,121,0,0
0.02,51,766,28,151,2,50,30,14,106,0,0
0.02,9,612,28,115,2,24,10,5,31,0,0
0.02,11,333,20,29,2,45,16,5,58,0,0
0.02,31,400,29,51,2,43,16,14,90,0,0
0.02,19,442,47,85,2,41,18,5,94,0,0
0.02,39,471,28,125,2,93,19,5,91,0,0
0.02,29,327,22,36,2,40,15,5,123,0,0
0.02,26,427,25,244,1,39,13,5,117,0,0
0.02,22,528,37,108,4,32,14,5,44,0,0
0.02,32,379,30,94,4,54,15,5,67,0,0
0.02,26,402,14,39,1,24,16,5,51,0,0
0.02,9,344,19,17,1,37,11,5,102,0,0
0.02,31,408,19,55,2,38,16,5,108,0,0
0.02,26,440,18,50,2,38,15,5,87,0,0
0.02,25,301,20,58,2,41,8,5,87,0,0
0.02,37,355,23,69,4,50,18,5,114,0,0
0.02,26,411,22,72,1,41,17,5,69,0,0
0.02,18,686,27,114,1,14,17,5,31,0,0
0.02,19,312,15,55,2,45,12,5,88,0,0
0.02,19,316,12,80,4,50,18,5,92,0,0
0.02,10,932,22,157,2,8,9,5,25,0,0
0.02,32,502,44,58,2,42,18,5,44,0,0
0.02,24,342,28,54,1,55,17,5,88,0,0
0.02,22,429,22,43,1,35,16,5,73,0,0
0.02,21,413,24,66,2,46,14,5,58,0,0
0.02,24,464,52,58,1,42,10,5,53,0,0
0.02,27,366,34,49,1,54,8,5,45,0,0
